DRAWING_ID,CLEAN_PDF,MARKED_PDF,FACIT_XLSX,BLUEBEAM_XML,CVAT,OTHER_REFERENCE,REVISION,EXPOSURE,STATUS,VALIDATION_SET,CONTENT_CHECK
1760279_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760279_1.pdf; Drawings/Pipe studio - style-source-pdfs/05 - Bengt Dahlgren - Ghostscript 9.21/1760279_1.pdf; Drawings/Style of drawings/13/1760279_1.pdf; Drawings/Video drawings/1760279_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760280_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760280_1.pdf; Drawings/Style of drawings/13/1760280_1.pdf; Drawings/Video drawings/1760280_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760281_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760281_1.pdf; Drawings/Style of drawings/13/1760281_1.pdf; Drawings/Video drawings/1760281_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760282_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760282_1.pdf; Drawings/Style of drawings/13/1760282_1.pdf; Drawings/Video drawings/1760282_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760283_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760283_1.pdf; Drawings/Style of drawings/13/1760283_1.pdf; Drawings/Video drawings/1760283_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760284_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760284_1.pdf; Drawings/Style of drawings/13/1760284_1.pdf; Drawings/Video drawings/1760284_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760285_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760285_1.pdf; Drawings/Style of drawings/13/1760285_1.pdf; Drawings/Video drawings/1760285_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760286_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760286_1.pdf; Drawings/Style of drawings/13/1760286_1.pdf; Drawings/Video drawings/1760286_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760287_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760287_1.pdf; Drawings/Style of drawings/13/1760287_1.pdf; Drawings/Video drawings/1760287_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760288_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760288_1.pdf; Drawings/Style of drawings/13/1760288_1.pdf; Drawings/Video drawings/1760288_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760289_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760289_1.pdf; Drawings/Style of drawings/13/1760289_1.pdf; Drawings/Video drawings/1760289_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760290_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760290_1.pdf; Drawings/Style of drawings/13/1760290_1.pdf; Drawings/Video drawings/1760290_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760291_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760291_1.pdf; Drawings/Style of drawings/13/1760291_1.pdf; Drawings/Video drawings/1760291_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760292_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760292_1.pdf; Drawings/Style of drawings/13/1760292_1.pdf; Drawings/Video drawings/1760292_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760293_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760293_1.pdf; Drawings/Style of drawings/13/1760293_1.pdf; Drawings/Video drawings/1760293_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760294_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760294_1.pdf; Drawings/Style of drawings/13/1760294_1.pdf; Drawings/Video drawings/1760294_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760295_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760295_1.pdf; Drawings/Style of drawings/13/1760295_1.pdf; Drawings/Video drawings/1760295_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760296_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760296_1.pdf; Drawings/Style of drawings/13/1760296_1.pdf; Drawings/Video drawings/1760296_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760297_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760297_1.pdf; Drawings/Style of drawings/13/1760297_1.pdf; Drawings/Video drawings/1760297_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760298_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760298_1.pdf; Drawings/Style of drawings/13/1760298_1.pdf; Drawings/Video drawings/1760298_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760299_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760299_1.pdf; Drawings/Style of drawings/13/1760299_1.pdf; Drawings/Video drawings/1760299_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760300_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760300_1.pdf; Drawings/Style of drawings/13/1760300_1.pdf; Drawings/Video drawings/1760300_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760301_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760301_1.pdf; Drawings/Style of drawings/13/1760301_1.pdf; Drawings/Video drawings/1760301_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760302_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760302_1.pdf; Drawings/Style of drawings/13/1760302_1.pdf; Drawings/Video drawings/1760302_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760303_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760303_1.pdf; Drawings/Style of drawings/13/1760303_1.pdf; Drawings/Video drawings/1760303_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760304_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760304_1.pdf; Drawings/Style of drawings/13/1760304_1.pdf; Drawings/Video drawings/1760304_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760305_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760305_1.pdf; Drawings/Style of drawings/13/1760305_1.pdf; Drawings/Video drawings/1760305_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760306_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760306_1.pdf; Drawings/Style of drawings/13/1760306_1.pdf; Drawings/Video drawings/1760306_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760307_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760307_1.pdf; Drawings/Style of drawings/13/1760307_1.pdf; Drawings/Video drawings/1760307_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760308_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760308_1.pdf; Drawings/Style of drawings/13/1760308_1.pdf; Drawings/Video drawings/1760308_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760309_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760309_1.pdf; Drawings/Style of drawings/13/1760309_1.pdf; Drawings/Video drawings/1760309_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760310_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760310_1.pdf; Drawings/Style of drawings/13/1760310_1.pdf; Drawings/Video drawings/1760310_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760311_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760311_1.pdf; Drawings/Style of drawings/13/1760311_1.pdf; Drawings/Video drawings/1760311_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760312_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760312_1.pdf; Drawings/Style of drawings/13/1760312_1.pdf; Drawings/Video drawings/1760312_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760313_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760313_1.pdf; Drawings/Style of drawings/13/1760313_1.pdf; Drawings/Video drawings/1760313_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760314_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760314_1.pdf; Drawings/Style of drawings/13/1760314_1.pdf; Drawings/Video drawings/1760314_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760315_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760315_1.pdf; Drawings/Style of drawings/13/1760315_1.pdf; Drawings/Video drawings/1760315_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760316_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760316_1.pdf; Drawings/Style of drawings/13/1760316_1.pdf; Drawings/Video drawings/1760316_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760317_1,,,,,,Drawings/Other drawings (different format)/Fyrtornet 2/1760317_1.pdf; Drawings/Style of drawings/13/1760317_1.pdf; Drawings/Video drawings/1760317_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
1760318_1,,,,,,Drawings/Video drawings/1760318_1.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
R9UHA10-CLB001-001,,,,,,Drawings/Other drawings (different format)/R9UHA10-CLB001-001.pdf; Drawings/Other drawings (different format)/Ritningar/R9UHA10-CLB001-001.pdf; Drawings/Style of drawings/8/R9UHA10-CLB001-001.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
R9UHA10-CLB001-002,,,,,,Drawings/Other drawings (different format)/R9UHA10-CLB001-002.pdf; Drawings/Other drawings (different format)/Ritningar/R9UHA10-CLB001-002.pdf; Drawings/Pipe studio - style-source-pdfs/03 - Sweco - AutoCAD 2023 - pdfplot16 - Hairline/R9UHA10-CLB001-002.pdf; Drawings/Style of drawings/8/R9UHA10-CLB001-002.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
R9UHA10-CLB001-003,,,,,,Drawings/Other drawings (different format)/R9UHA10-CLB001-003.pdf; Drawings/Other drawings (different format)/Ritningar/R9UHA10-CLB001-003.pdf; Drawings/Style of drawings/8/R9UHA10-CLB001-003.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
R9UHA10-CLB001-004,,,,,,Drawings/Other drawings (different format)/R9UHA10-CLB001-004.pdf; Drawings/Other drawings (different format)/Ritningar/R9UHA10-CLB001-004.pdf; Drawings/Scales/R9UHA10-CLB001-004.pdf; Drawings/Style of drawings/8/R9UHA10-CLB001-004.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0010,,,,,,Drawings/Other drawings (different format)/TOFTASKOLAN HUS B/V-50-1-010 HT.pdf; Drawings/Other drawings (different format)/TOFTASKOLAN HUS B/V-50-1-010.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0020,,,,,,Drawings/Other drawings (different format)/TOFTASKOLAN HUS B/V-50-1-020 HT.pdf; Drawings/Other drawings (different format)/TOFTASKOLAN HUS B/V-50-1-020.pdf,,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0811,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0811 - Plan B2, Del 11, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0811 - Plan B2, Del 11, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0812,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0812 - Plan B2, Del 12, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0812 - Plan B2, Del 12, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0813,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0813 - Plan B2, Del 13, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0813 - Plan B2, Del 13, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0814,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0814 - Plan B2, Del 14, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0814 - Plan B2, Del 14, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0821,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0821 - Plan B2, Del 21, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0821 - Plan B2, Del 21, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0821 - Plan B2, Del 21, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0822,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0822 - Plan B2, Del 22, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0822 - Plan B2, Del 22, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0822 - Plan B2, Del 22, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0823,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0823 - Plan B2, Del 23, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0823 - Plan B2, Del 23, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0823 - Plan B2, Del 23, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0824,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0824 - Plan B2, Del 24, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0824 - Plan B2, Del 24, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0824 - Plan B2, Del 24, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0832,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0832 - Plan B2, Del 32, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0832 - Plan B2, Del 32, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0832 - Plan B2, Del 32, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0834,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0834 - Plan B2, Del 34, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0834 - Plan B2, Del 34, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0834 - Plan B2, Del 34, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0841,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0841 - Plan B2, Del 41, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0841 - Plan B2, Del 41, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0841 - Plan B2, Del 41, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0842,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0842 - Plan B2, Del 42, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0842 - Plan B2, Del 42, Värme & Sanitäranlägg-.pdf; Drawings/Pipe studio - style-source-pdfs/04 - VVS Konsulterna - Revit - Bluebeam Brewery 5.0/V50-1-0842 - Plan B2, Del 42, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0842 - Plan B2, Del 42, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0843,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0843 - Plan B2, Del 43, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0843 - Plan B2, Del 43, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0843 - Plan B2, Del 43, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0844,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0844 - Plan B2, Del 44, Värme & Sanitäranlägg-.pdf; Drawings/Other drawings (different format)/Ritningar/V50-1-0844 - Plan B2, Del 44, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0844 - Plan B2, Del 44, Värme & Sanitäranlägg-.pdf",,DEVELOPMENT,UNPAIRED,DEVELOPMENT,NOT_A_PAIR
V-50-1-0911,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0911 - Plan B1, Del 11, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0911 - Plan B1, Del 11, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0912,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0912 - Plan B1, Del 12, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0912 - Plan B1, Del 12, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0913,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0913 - Plan B1, Del 13, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0913 - Plan B1, Del 13, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0914,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0914 - Plan B1, Del 14, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0914 - Plan B1, Del 14, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0921,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0921 - Plan B1, Del 21, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0921 - Plan B1, Del 21, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0922,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0922 - Plan B1, Del 22, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0922 - Plan B1, Del 22, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0923,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0923 - Plan B1, Del 23, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0923 - Plan B1, Del 23, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0924,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0924 - Plan B1, Del 24, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0924 - Plan B1, Del 24, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0932,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0932 - Plan B1, Del 32, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0932 - Plan B1, Del 32, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0934,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0934 - Plan B1, Del 34, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0934 - Plan B1, Del 34, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0941,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0941 - Plan B1, Del 41, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0941 - Plan B1, Del 41, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0942,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0942 - Plan B1, Del 42, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0942 - Plan B1, Del 42, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0943,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0943 - Plan B1, Del 43, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0943 - Plan B1, Del 43, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-0944,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-0944 - Plan B1, Del 44, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-0944 - Plan B1, Del 44, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-1011,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-1011 - Plan 01, Del 11, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-1011 - Plan 01, Del 11, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-1012,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-1012 - Plan 01, Del 12, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-1012 - Plan 01, Del 12, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-1013,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-1013 - Plan 01, Del 13, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-1013 - Plan 01, Del 13, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
V-50-1-1014,,,,,,"Drawings/Other drawings (different format)/Axis/V50-1-1014 - Plan 01, Del 14, Värme & Sanitäranlägg-.pdf; Drawings/Style of drawings/7/V50-1-1014 - Plan 01, Del 14, Värme & Sanitäranlägg-.pdf",,,UNPAIRED,UNEXPOSED_SO_FAR,NOT_A_PAIR
